,0,1,2,3
0,ChIJHU99gwsipEwREkSFSeQiTfE,Greco Pizza,"529 Dundonald St, Fredericton, NB E3B 1X5",meal_delivery
1,ChIJgwNnSVSRmEwR_YBX9p8JReE,KFC,"1381 Regent St #154, Fredericton, NB E3C 1A2",meal_delivery
2,ChIJVZ9svT8ipEwRAgT79dWodGY,KFC,"439 East Prospect St, Fredericton, NB E3B 3B9",meal_delivery
3,ChIJcxANd40YpEwRhJpf_duwnb4,KFC,"283 Main St, Fredericton, NB E3A 1E1",meal_delivery
4,ChIJc2gwvTkipEwRD0eQYqCwF-s,Manchu Wok,"1381 Regent St. #P4, Regent Mall, Fredericton, NB E3C 1A2",meal_delivery
5,ChIJPZn0hXYipEwRUZSenctlb_U,Domino's Pizza,"138 Dundonald St, Fredericton, NB E3B 1W8",meal_delivery
6,ChIJBT5Av3YipEwRiLy3P3DrPtQ,Papa John's Pizza,"528 Smythe St, Fredericton, NB E3B 3E6",meal_delivery
7,ChIJa8JPl40YpEwR6FJEUPmyOtI,Little Caesars Pizza,"264 Main St, Fredericton, NB E3A 1C9",meal_delivery
8,ChIJS_rlYYsYpEwRmmXgvow4Thw,Domino's Pizza,"170 Main St, Fredericton, NB E3A 1C8",meal_delivery
9,ChIJnfeMG0IipEwR8RbVm6m8w54,Little Caesars Pizza,"1012 Prospect St, Fredericton, NB E3B 3C1",meal_delivery
10,ChIJq6rq1R-1p0wRT8XjA67x7vU,Nourish NB,"1216 Sand Cove Rd, Saint John, NB E3M 5V8",meal_delivery
