,0,1
0,RBC Royal Bank,"1206 Prospect St, Fredericton, NB E3B 3C1"
1,CIBC Branch with ATM,"1142 Smythe St, Fredericton, NB E3B 3H5"
2,RBC Royal Bank,"504 Queen St, Fredericton, NB E3B 5G1"
3,BMO Bank of Montreal,"148 Main St, Fredericton, NB E3A 1C8"
4,National Bank,"551 Rue King C, Fredericton, NB E3B 3T9"
5,BMO Bank of Montreal,"505 King St, Fredericton, NB E3B 1E7"
6,BMO Bank of Montreal,"1241 Prospect St E, Fredericton, NB E3B 3B9"
7,CIBC Branch with ATM,"102 Main St, Fredericton, NB E3A 9N6"
8,Scotiabank,"1111 Regent St, Fredericton, NB E3B 3Z2"
9,Scotiabank,"178 Main St, Fredericton, NB E3A 5G8"
10,HSBC Bank,"520 King St, Fredericton, NB E3B 6G3"
11,TD Canada Trust Branch and ATM,"1211 Prospect St, Fredericton, NB E3B 3B9"
12,Scotiabank,"490 King St, Fredericton, NB E3B 5H8"
13,President's Choice Financial Pavilion and ATM,"471 Smythe St, Fredericton, NB E3B 3E3"
14,N.B. Filmmakers Co-Operative Ltd.,"59 York St, Fredericton, NB E3B 3N4"
15,TD Canada Trust Branch and ATM,"77 Westmorland St, Fredericton, NB E3B 6Z3"
16,CIBC Branch with ATM,"448 Queen St, Fredericton, NB E3B 1B6"
17,NBTA Credit Union,"650 Montgomery St, Fredericton, NB E3B 2X7"
18,Speedbumps Sports Bar,"102 Main St, Fredericton, NB E3A 9N6"
19,The Speakeasy Bar & Lounge,"530 Queen St, Fredericton, NB E3B 1B9"
20,Lunar Rogue Pub,"625 King St, Fredericton, NB E3B 1E9"
21,"540 Kitchen & Bar, Inc","540 Queen St, Fredericton, NB E3B 1B9"
22,The Dip Pool Bar & Grill,"225 Woodstock Rd, Fredericton, NB E3B 2H8"
23,The Provincial,"550 Queen St, Fredericton, NB E3B 1B9"
24,St. Louis Bar & Grill Fredericton,"280 King St, Fredericton, NB E3B 1G8"
25,The Hilltop Maritime Tavern,"1034 Prospect St, Fredericton, NB E3B 3C1"
26,The Capital Bar,"362 Queen St, Fredericton, NB E3B 1B2"
27,Winner's Lounge,"30 Trius Dr, Fredericton, NB E3B 6A2"
28,Mama's Brew Pub,"500 Brookside Dr, Fredericton, NB E3A 8V2"
29,Southside Shake @ Hilton Garden Inn Fredericton Downtown,"620 Queen St, Fredericton, NB E3B 1C2"
30,Dolan's Pub,"349 King St, Fredericton, NB E3B 1E4"
31,UNB Grad House - Windsor Castle Bar,"676 Windsor St, Fredericton, NB E3B 3X9"
32,Ringo's Grill,"1185 Smythe St, Fredericton, NB E3B 3H4"
33,Cannon's Cross Pub,"15 Riverside Dr, Fredericton, NB E3A 3X8"
34,Klub Khrome,"375 King St, Fredericton, NB E3B 1E4"
35,Broken Record Bar & Music Room,"422 Queen St, Fredericton, NB E3B 1B6"
36,Cellar Pub & Grill,"Student Union Bldg, 21 Pacey Dr, Fredericton, NB E3B 5A3"
37,The Picaroons Roundhouse,"912 Union St, Fredericton, NB E3A 5M5"
38,Greco Pizza,"529 Dundonald St, Fredericton, NB E3B 1X5"
39,KFC,"1381 Regent St #154, Fredericton, NB E3C 1A2"
40,KFC,"439 East Prospect St, Fredericton, NB E3B 3B9"
41,KFC,"283 Main St, Fredericton, NB E3A 1E1"
42,Manchu Wok,"1381 Regent St. #P4, Regent Mall, Fredericton, NB E3C 1A2"
43,Domino's Pizza,"138 Dundonald St, Fredericton, NB E3B 1W8"
44,Papa John's Pizza,"528 Smythe St, Fredericton, NB E3B 3E6"
45,Little Caesars Pizza,"264 Main St, Fredericton, NB E3A 1C9"
46,Domino's Pizza,"170 Main St, Fredericton, NB E3A 1C8"
47,Little Caesars Pizza,"1012 Prospect St, Fredericton, NB E3B 3C1"
48,Nourish NB,"1216 Sand Cove Rd, Saint John, NB E3M 5V8"
49,Science East,"668 Brunswick St, Fredericton, NB E3B 1H6"
50,School Days Museum,"Justice Building Annex, East Entrance, Queen St, Fredericton, NB E3B 5R6"
51,Quartermain Earth Science Centre,"2 Bailey Dr, Fredericton, NB E3B 5A3"
52,York-Sunbury Historical Society,"571 Queen St, Fredericton, NB E3B 5C8"
53,Fabinex,"357 Canada St, Fredericton, NB E3A 4A3"
54,University of New Brunswick: Brydone Jack Observatory Museum,"10 Bailey Dr, Fredericton, NB E3B 2T5"
55,ASD-W STEAM Expo,"324 Fulton Ave, Fredericton, NB E3A 5J4"
56,The New Brunswick Country Music Hall of Fame,"Inn Complex, 1315 Regent St, Fredericton, NB E3C 1A1"
57,Guard House & Soldiers' Barracks,"15 Rue Carleton St, Fredericton, NB E3B 3T1"
58,New Brunswick Sports Hall of Fame,"503 Queen St, Fredericton, NB E3B 5H1"
59,Canadian Military Engineers Museum,"Mitchell Building (J-10) CFB/ASG Gagetown Main Gate, corner of Turner &, 699 Champlain St, Oromocto, NB"
60,Currie House Museum,"110 Currie Ln, Fredericton Junction, NB E5L 1X7"
61,Douglas-Bright War Memorial,"Keswick Ridge, NB"
62,Keswick Ridge Historical Society,"112 NB-616, Keswick Ridge, NB E6L 1R8"
63,Power Plant Tour,"451 Power House Ln, Keswick Ridge, NB E6L 1A8"
64,"Kings Landing, New Brunswick","5804 Route 102, 5804 NB-102, Prince William, NB E6K 0A5"
65,Central NB Woodmen's Museum Inc,"6342 NB-8, Boiestown, NB E6A 1Z5"
66,New Brunswick Museum Archives,"277 Douglas Ave, Saint John, NB E2K 1E5"
67,Atlantic Salmon Museum Inc,"263 Main St, Doaktown, NB E9C 1A9"
68,The Print Shop,"Kings Landing, NB"
