place_ID, name, address, type
212,ChIJiRJnoz8ipEwRkjMv6Fa3VKs,RBC Royal Bank,"1206 Prospect St, Fredericton, NB E3B 3C1",bank
213,ChIJd7lg62kipEwRiY9bnfPqSXs,CIBC Branch with ATM,"1142 Smythe St, Fredericton, NB E3B 3H5",bank
214,ChIJgTlAJqIYpEwRBKCMvVGG9LQ,RBC Royal Bank,"504 Queen St, Fredericton, NB E3B 5G1",bank
215,ChIJ6zxMPosYpEwRawc68tMR5PI,BMO Bank of Montreal,"148 Main St, Fredericton, NB E3A 1C8",bank
216,ChIJRSK3W6EYpEwRYUiAQgq8cJg,National Bank,"551 Rue King C, Fredericton, NB E3B 3T9",bank
217,ChIJVyEPkKEYpEwRDriNI3x2tcM,BMO Bank of Montreal,"505 King St, Fredericton, NB E3B 1E7",bank
218,ChIJfcZAWT4ipEwRG236agd5-6A,BMO Bank of Montreal,"1241 Prospect St E, Fredericton, NB E3B 3B9",bank
219,ChIJ0S5KsIoYpEwReiBQWOg9Vx8,CIBC Branch with ATM,"102 Main St, Fredericton, NB E3A 9N6",bank
220,ChIJM_KIPj4ipEwRPc941F22ds4,Scotiabank,"1111 Regent St, Fredericton, NB E3B 3Z2",bank
221,ChIJZYGTmYwYpEwRMQgfhsq47Hc,Scotiabank,"178 Main St, Fredericton, NB E3A 5G8",bank
222,ChIJk123kKEYpEwRN76WnixY3WI,HSBC Bank,"520 King St, Fredericton, NB E3B 6G3",bank
223,ChIJp2kwvTkipEwR-2UGESb6Apw,TD Canada Trust Branch and ATM,"1211 Prospect St, Fredericton, NB E3B 3B9",bank
224,ChIJ1R5EkaEYpEwRb1t-BCRD14Q,Scotiabank,"490 King St, Fredericton, NB E3B 5H8",bank
225,ChIJXQJ0QnYipEwRcriu1hA8_n0,President's Choice Financial Pavilion and ATM,"471 Smythe St, Fredericton, NB E3B 3E3",bank
226,ChIJeXHSqJgYpEwRvnFYm3kJv0M,N.B. Filmmakers Co-Operative Ltd.,"59 York St, Fredericton, NB E3B 3N4",bank
227,ChIJ2RUL3pgYpEwReU3VNWiHobE,TD Canada Trust Branch and ATM,"77 Westmorland St, Fredericton, NB E3B 6Z3",bank
228,ChIJy0Z0G6IYpEwRYP9l-cWFltc,CIBC Branch with ATM,"448 Queen St, Fredericton, NB E3B 1B6",bank
229,ChIJnxdh_BMipEwR3UYFEg7RZbY,NBTA Credit Union,"650 Montgomery St, Fredericton, NB E3B 2X7",bank
230,ChIJTdg1VfUYpEwR85dDukeyE70,Speedbumps Sports Bar,"102 Main St, Fredericton, NB E3A 9N6",bar
231,ChIJlX1k2rAZpEwRe1T7T0Iaj2k,The Speakeasy Bar & Lounge,"530 Queen St, Fredericton, NB E3B 1B9",bar
232,ChIJp3tkOKEYpEwR4g0OZyGQBxY,Lunar Rogue Pub,"625 King St, Fredericton, NB E3B 1E9",bar
233,ChIJiy2e1aMYpEwRA_ePvfO8d5Y,"540 Kitchen & Bar, Inc","540 Queen St, Fredericton, NB E3B 1B9",bar
234,ChIJH4N9woMYpEwRJwwNjoxbVZE,The Dip Pool Bar & Grill,"225 Woodstock Rd, Fredericton, NB E3B 2H8",bar
235,ChIJ2chS--gZpEwRqIrWz3QtI3E,The Provincial,"550 Queen St, Fredericton, NB E3B 1B9",bar
236,ChIJ-Q-Nq5UZpEwRKPgJOs-iots,St. Louis Bar & Grill Fredericton,"280 King St, Fredericton, NB E3B 1G8",bar
237,ChIJKXHO9kEipEwR5t3X2wPaHR8,The Hilltop Maritime Tavern,"1034 Prospect St, Fredericton, NB E3B 3C1",bar
238,ChIJvbvLvpgYpEwRF_ejfHjT9BM,The Capital Bar,"362 Queen St, Fredericton, NB E3B 1B2",bar
239,ChIJF-nL5kGepkwRALbb9aMid_0,Winner's Lounge,"30 Trius Dr, Fredericton, NB E3B 6A2",bar
240,ChIJ4Y1gN1YYpEwRAEd9T4jY5Jo,Mama's Brew Pub,"500 Brookside Dr, Fredericton, NB E3A 8V2",bar
241,ChIJVVXlWqEYpEwRnD7r1C71W3U,Southside Shake @ Hilton Garden Inn Fredericton Downtown,"620 Queen St, Fredericton, NB E3B 1C2",bar
242,ChIJGwTes5gYpEwR_OXAxistPqg,Dolan's Pub,"349 King St, Fredericton, NB E3B 1E4",bar
243,ChIJ__8zyw8ipEwRyV4vYAao-9I,UNB Grad House - Windsor Castle Bar,"676 Windsor St, Fredericton, NB E3B 3X9",bar
244,ChIJd-vJ4GkipEwRXhDvLxryUe8,Ringo's Grill,"1185 Smythe St, Fredericton, NB E3B 3H4",bar
245,ChIJw12HdgAipEwRTFbiYCT2in0,Cannon's Cross Pub,"15 Riverside Dr, Fredericton, NB E3A 3X8",bar
246,ChIJGwTes5gYpEwReIJCczZ3IrE,Klub Khrome,"375 King St, Fredericton, NB E3B 1E4",bar
247,ChIJLSe-e5IZpEwRg3slhh6lAkY,Broken Record Bar & Music Room,"422 Queen St, Fredericton, NB E3B 1B6",bar
248,ChIJK_uYpAsipEwRyzO8y2xbMYk,Cellar Pub & Grill,"Student Union Bldg, 21 Pacey Dr, Fredericton, NB E3B 5A3",bar
